time,temperature_2m,windspeed_10m,winddirection_10m,predicted_windspeed
2022-12-27T00:00,27.9,15.1,237,14.53132127
2022-12-27T01:00,27.1,12.1,253,12.91045363
2022-12-27T02:00,27.2,11.9,241,15.58586854
2022-12-27T03:00,27.3,12.2,246,13.42468571
2022-12-27T04:00,27.5,10.5,254,13.19570523
2022-12-27T05:00,27.4,11.4,242,13.63225951
2022-12-27T06:00,29.2,12.2,246,14.8894703
2022-12-27T07:00,28.4,12.2,236,14.22409144
2022-12-27T08:00,28.7,12.3,249,11.49297697
2022-12-27T09:00,28.2,9.5,241,14.40293213
2022-12-27T10:00,27.8,8.5,234,8.100900283
2022-12-27T11:00,27.5,10.7,256,16.20105567
2022-12-27T12:00,27.6,10.5,262,14.1149526
2022-12-27T13:00,28.4,9.4,268,14.94353311
2022-12-27T14:00,29.7,11.4,259,15.89439739
2022-12-27T15:00,30.7,16.6,268,8.255190689
2022-12-27T16:00,31.5,16.2,274,13.32105469
2022-12-27T17:00,33.4,14.3,280,11.62147004
2022-12-27T18:00,33.8,10.5,276,15.09797939
2022-12-27T19:00,34.5,10,291,15.61340656
2022-12-27T20:00,34.5,9.8,253,12.98898878
2022-12-27T21:00,33.2,8,265,11.11209627
2022-12-27T22:00,32.3,6.9,261,16.25446896
2022-12-27T23:00,32.1,7.7,229,11.2885208
2022-12-28T00:00,31.9,8.9,194,12.49933297
2022-12-28T01:00,32.3,8.6,202,8.511215554
2022-12-28T02:00,32.1,7.2,217,15.27754753
2022-12-28T03:00,32.2,6.4,254,11.83021295
2022-12-28T04:00,31.6,8.9,249,12.93723822
2022-12-28T05:00,31.8,6.4,286,13.13881058
2022-12-28T06:00,31.7,1.5,225,16.48778814
2022-12-28T07:00,32.4,2.3,39,13.3703631
2022-12-28T08:00,31.7,5.9,133,13.08981393
2022-12-28T09:00,30.9,6.1,152,11.39321701
2022-12-28T10:00,30.5,5,159,12.98753389
2022-12-28T11:00,30,4,185,11.16010568
2022-12-28T12:00,29.5,4.7,203,15.97046441
2022-12-28T13:00,31.3,5.2,155,14.73286765
2022-12-28T14:00,34.5,6.9,186,7.970614577
2022-12-28T15:00,36.6,14,215,14.91859312
2022-12-28T16:00,40.3,15,197,15.50447557
2022-12-28T17:00,42.2,16.3,215,13.88695938
2022-12-28T18:00,44.5,16.6,214,12.03235688
2022-12-28T19:00,47.1,20.8,206,14.27293221
2022-12-28T20:00,47.1,17.1,205,14.40262037
2022-12-28T21:00,46.9,15.4,213,14.76331546
2022-12-28T22:00,43.5,9.8,208,15.37837268
2022-12-28T23:00,41.7,6.6,202,12.49870945
2022-12-29T00:00,40.7,8.7,197,15.12395859
2022-12-29T01:00,39.9,7.9,204,15.66302673
2022-12-29T02:00,38.6,7.4,209,8.613157855
2022-12-29T03:00,37.9,11.2,228,15.4841081
